production_date,shift,id_machine,packer,material,id_type,mould,type,jo_no,qty_perct,gross_weight,part_weight,shot,qty_order,wip_opening,wip_closing,shift_output,finish_good,inward,qty_accum,qty_balance,material_used,runner,reject_startup,reject_startup_per,reject_prod,reject_prod_per,act_ct,production_running,sap_ct, change_full_set , change_half_set , change_parts , maintenance_dt , technician_dt ,production_dt,remark,reject_purging,reject_preform,reject_total_pcs
1/7/2026,1,1,KAVITHAH,PET RECRON,322448,0,BCY28-0500-W-R-CL,10698738,4,40,40,931,204120,,810,3724,2430,97.2,42120,162000,148.96,0,0,0,15.6,0.104726101,27.4,7,23,,,,0,5,,"Mc stop 10am cav # 1 &2 nozel temprature problem,restart 3 pm,lumpy",3,4,390
1/7/2026,1,2,MOGANA,PET,442034,0,BC28-0250-Z-S-CL,10699054,4,23,23,576,139776,3840,,2304,6144,141.312,139776,0,52.992,0,,0,2,0.037741546,24.3,3.9,22,,,,,0,,C/order,4,3,86
1/7/2026,1,2,MOGANA,PET,442034,0,BC28-0250-Z-S-CL,10699055,4,23,23,1152,139776,,,4608,4608,105.984,4608,135168,105.984,0,,0,,0,24.3,8.1,22,,,,,0,,Drooling,,,0
1/7/2026,1,3,AISHAH/BHOLA,PET,324198,0,BX38-0100-C-R-CL,10700605,4,20,20,1877,25920,3600,2160,7508,8640,172.8,19440,6480,150.16,0,,0,4,0.026638253,22.4,11.67911111,19.5,,,,,0.320888889,,Drooling,3.5,6,200
1/7/2026,1,4,JEGA,PET,426555,0,BX38-0330-Z-S-CL-HW,10699839,4,29,29,1637,81600,340,205,6548,6120,177.48,17545,64055,189.892,0,,0,4,0.021064605,25.9,11.77730556,22.72,,,,,0.222694444,,Run well,4.2,3,137
1/7/2026,1,5,JEGA/MOGANA,PET,577492,0,BC28-0375-K-R-Tinted Brown,10699842,4,35.6,35.6,1790,60720,736,736,7160,7360,262.016,5888,54832,254.896,0,,0,3,0.011769506,23.3,11.58527778,27,,,,,0.414722222,,Run well.L.test.,,,84
1/7/2026,1,6,HABIRAMI,PET,324165,0,JJ63-0400-SH-S-WH,10698665,4,32.56,33,1641,104192,2176,,6564,8704,287.232,104192,0,216.612,0,,0,1.5,0.006924824,26.6,12,22,,,,,0,,C/order,,,45
1/7/2026,1,7,AISHAH,PET,322445,0,JJ63-0400-SH-S-CL,10699847,4,32.74,33,1867,72000,1440,,7468,7200,237.6,39600,32400,246.444,0,,0,6,0.024346302,22.7,11.77247222,22,,,,,0.227527778,,Flow mark,,6,181
1/7/2026,1,8,HABIRAMI/AISYAH/KAVITHAH,rPET,593537,0,BX38-1000-RN-R-CL-rPET 0.2,10700450,4,56.5,56.8,1447,69000,345,,5788,5750,326.6,44850,24150,328.7584,0,0,0,3,0.009125242,29,11.7,28.5,,,,,0.3,,Tech adjust neck dented .L.test,,,52
1/7/2026,1,9,NA,KingFa NC050,666344,2,BC28-0056-D-APH-5040-0756-PP,10700883,6,12.3,12.3,,162000,,0,0,,0,,162000,0,0,19,,,,26.7,0,26,,,,,12,,Dome height,2,6,0
1/7/2026,1,10,BINOD,PET,323102,0,BX38-1500-H-R-CL-LW(GREEN) (ASEM),10700489,4,56.9,56.9,339,40960,,160,1356,640,36.416,800,40160,77.1564,0,12,0.155528252,2,0.025921375,28,2.5,26,,,,,9.5,,Start 3.30 pm .lumpy & body soff,27,45,35
1/7/2026,1,11,BHOLA,PPSB520Y,552181,5,BC28-0090-D-APH-5180-3538-PP-6 NOTCHES,10698216,6,14.7,14.7,1470,108000,1350,3780,8820,5400,79.38,49950,58050,129.654,0,0,0,4,0.030851343,30.5,12,27,,,,,0,,Bottle dented  leak test problem.L.test,,,272
1/7/2026,1,12,NA,PET RECRON,620599,0,BC28-0750-K4-R-CL (55g)  ,10699339,4,55,55,,72000,1275,1275,0,,0,66075,5925,0,0,0,,,,29.7,0,28,,,,,12,,Under tech.Mould dented.,3,1,0
1/7/2026,1,13,NA,KingFa NC050,666344,3,BC28-0056-D-APH-5040-0756-PP,10700431,6,12.3,12.3,540,162000,,3240,3240,,0,,162000,39.852,0,5,0.125464218,1,0.025092844,28.1,4.5,26,,,,,7.5,,Restart 1.30pm .L.test,5,2,81
